Nombre,Altitud (m),Ubicación,Tipo,Estado,Año de In,Área Lent,geometry
Canada-France-Hawaii Telescope (CFHT),4204,Mauna Kea-Hawá- USA,Óptico,Operativo,1979,28.27433388230813,POINT(-155.4692 19.8256)
Gran Telescopio Canarias (GTC),2267,La Palma-España,Óptico/Infrarrojo,Operativo,2009,73.82742735936012,POINT(-17.8897 28.7542)
Telescopio Nazionale Galileo (TNG),2387,La Palma-España,Óptico,Operativo,1998,7.068583470577034,POINT(-17.8897 28.7542)
William Herschel Telescope (WHT),2342,La Palma-España,Óptico/Infrarrojo,Operativo,1987,12.566370614359172,POINT(-17.8825 28.7586)
HESS,1800,Namibia,Rayos Gamma,Operativo,2002,0.0,POINT(16.5 -23.2716)
Parkes Observatory,392,Nueva Gales del Sur-Australia,Radio,Operativo,1961,7853.981633974483,POINT(148.263 -32.9984)
MeerKAT,880,Northern Cape-Sudáfrica,Radio,Operativo,2018,7853.981633974483,POINT(21.443 -30.713)
South African Astronomical Observatory (SAAO),1798,Sutherland-Sudáfrica,Óptico,Operativo,1972,12.566370614359172,POINT(20.8105 -32.3786)
Anglo-Australian Telescope (AAT),1164,Nueva Gales del Sur-Australia,Óptico,Operativo,1974,12.566370614359172,POINT(149.066 -31.277)
Kitt Peak National Observatory,2095,Arizona-USA,Óptico/Infrarrojo,Operativo,1960,78.53981633974483,POINT(-111.6 31.9631)
Palomar Observatory,1712,California-USA,Óptico,Operativo,1948,19.6349540849362,POINT(-116.863 33.3563)
Lick Observatory,1283,California-USA,Óptico,Operativo,1888,3.141592653589793,POINT(-121.643 37.3414)
Lowell Observatory,2210,Arizona-USA,Óptico,Operativo,1894,3.141592653589793,POINT(-111.535 35.2028)
Mount Wilson Observatory,1742,California-USA,Óptico,Operativo,1904,3.141592653589793,POINT(-118.057 34.2247)
Haleakalā Observatory,3055,Hawái-USA,Óptico/Solar,Operativo,1964,3.141592653589793,POINT(-156.256 20.7069)
Mauna Loa Solar Observatory,3397,Hawái-USA,Solar,Operativo,1965,0.7853981633974483,POINT(-155.576 19.5365)
CHIME,545,Columbia Británica-Canadá,Radio,Operativo,2017,1963.4954084936207,POINT(-119.619 49.3203)
FAST,1100,Guizhou-China,Radio,Operativo,2016,78539.81633974484,POINT(106.856 25.6529)
LIGO Hanford,149,Washington-USA,Gravitacional,Operativo,2002,0.0,POINT(-119.408 46.4554)
LIGO Livingston,16,Luisiana-USA,Gravitacional,Operativo,2002,0.0,POINT(-90.7742 30.5632)
IceCube Neutrino Observatory,2835,Antártida,Neutrinos,Operativo,2010,0.0,POINT(-112.085 -89.9946)
Thirty Meter Telescope (TMT),4050,Mauna Kea-Hawái-USA,Óptico/Infrarrojo,En construcción,2027,706.8583470577034,POINT(-155.4756 19.8239)
Effelsberg Radio Telescope,319,Bad Münstereifel-Alemania,Radio,Operativo,1972,7853.981633974483,POINT(6.8833 50.5247)
Jodrell Bank Observatory,77,Cheshire-Reino Unido,Radio,Operativo,1945,7853.981633974483,POINT(-2.3075 53.2364)
Nobeyama Radio Observatory,1350,Nagano-Japón,Radio,Operativo,1982,78.53981633974483,POINT(138.472 35.9415)
Five-hundred-meter Aperture Spherical Telescope (FAST),1100,Guizhou-China,Radio,Operativo,2016,78539.81633974484,POINT(106.856 25.6529)
Yerkes Observatory,334,Wisconsin-USA,Óptico,Operativo,1897,3.141592653589793,POINT(-88.553 42.5714)
Apache Point Observatory,2788,Nuevo México-USA,Óptico,Operativo,1985,3.141592653589793,POINT(-105.82 32.7803)
W. M. Keck Observatory,4145,Mauna Kea-Hawái-USA,Óptico/Infrarrojo,Operativo,1993,76.96902001294993,POINT(-155.4783 19.8264)
Gemini North,4213,Mauna Kea-Hawái-USA,Óptico/Infrarrojo,Operativo,1999,51.51838900400386,POINT(-155.469 19.8236)
Very Large Array (VLA),2124,Nuevo México-USA,Radio,Operativo,1980,1256.6370614359173,POINT(-107.6184 34.0788)
Green Bank Telescope (GBT),824,Virginia Occidental-USA,Radio,Operativo,2000,7853.981633974483,POINT(-79.8399 38.4331)
James Clerk Maxwell Telescope (JCMT),4092,Mauna Kea-Hawái-USA,Radio,Operativo,1987,78.53981633974483,POINT(-155.4762 19.8226)
Submillimeter Array (SMA),4080,Mauna Kea-Hawái-USA,Radio,Operativo,2002,56.54866776461628,POINT(-155.4758 19.8243)
Keck Observatory,4145,Mauna Kea-Hawái-USA,Óptico/Infrarrojo,Operativo,1993,76.96902001294993,POINT(-155.4783 19.8264)
Subaru Telescope,4139,Mauna Kea-Hawái-USA,Óptico/Infrarrojo,Operativo,1999,53.40707511102649,POINT(-155.4765 19.8256)
Canada-France-Hawaii Telescope (CFHT),4204,Mauna Kea-Hawá- USA,Óptico,Operativo,1979,28.27433388230813,POINT(-155.4692 19.8256)
Gran Telescopio Canarias (GTC),2267,La Palma-España,Óptico/Infrarrojo,Operativo,2009,73.82742735936012,POINT(-17.8897 28.7542)
Telescopio Nazionale Galileo (TNG),2387,La Palma-España,Óptico,Operativo,1998,7.068583470577034,POINT(-17.8897 28.7542)
William Herschel Telescope (WHT),2342,La Palma-España,Óptico/Infrarrojo,Operativo,1987,12.566370614359172,POINT(-17.8825 28.7586)
HESS,1800,Namibia,Rayos Gamma,Operativo,2002,0.0,POINT(16.5 -23.2716)
Parkes Observatory,392,Nueva Gales del Sur-Australia,Radio,Operativo,1961,7853.981633974483,POINT(148.263 -32.9984)
MeerKAT,880,Northern Cape-Sudáfrica,Radio,Operativo,2018,7853.981633974483,POINT(21.443 -30.713)
South African Astronomical Observatory (SAAO),1798,Sutherland-Sudáfrica,Óptico,Operativo,1972,12.566370614359172,POINT(20.8105 -32.3786)
Anglo-Australian Telescope (AAT),1164,Nueva Gales del Sur-Australia,Óptico,Operativo,1974,12.566370614359172,POINT(149.066 -31.277)
Kitt Peak National Observatory,2095,Arizona-USA,Óptico/Infrarrojo,Operativo,1960,78.53981633974483,POINT(-111.6 31.9631)
Palomar Observatory,1712,California-USA,Óptico,Operativo,1948,19.6349540849362,POINT(-116.863 33.3563)
Lick Observatory,1283,California-USA,Óptico,Operativo,1888,3.141592653589793,POINT(-121.643 37.3414)
Lowell Observatory,2210,Arizona-USA,Óptico,Operativo,1894,3.141592653589793,POINT(-111.535 35.2028)
Mount Wilson Observatory,1742,California-USA,Óptico,Operativo,1904,3.141592653589793,POINT(-118.057 34.2247)
Haleakalā Observatory,3055,Hawái-USA,Óptico/Solar,Operativo,1964,3.141592653589793,POINT(-156.256 20.7069)
Mauna Loa Solar Observatory,3397,Hawái-USA,Solar,Operativo,1965,0.7853981633974483,POINT(-155.576 19.5365)
CHIME,545,Columbia Británica-Canadá,Radio,Operativo,2017,1963.4954084936207,POINT(-119.619 49.3203)
FAST,1100,Guizhou-China,Radio,Operativo,2016,78539.81633974484,POINT(106.856 25.6529)
LIGO Hanford,149,Washington-USA,Gravitacional,Operativo,2002,0.0,POINT(-119.408 46.4554)
LIGO Livingston,16,Luisiana-USA,Gravitacional,Operativo,2002,0.0,POINT(-90.7742 30.5632)
IceCube Neutrino Observatory,2835,Antártida,Neutrinos,Operativo,2010,0.0,POINT(-112.085 -89.9946)
Thirty Meter Telescope (TMT),4050,Mauna Kea-Hawái-USA,Óptico/Infrarrojo,En construcción,2027,706.8583470577034,POINT(-155.4756 19.8239)
Effelsberg Radio Telescope,319,Bad Münstereifel-Alemania,Radio,Operativo,1972,7853.981633974483,POINT(6.8833 50.5247)
Jodrell Bank Observatory,77,Cheshire-Reino Unido,Radio,Operativo,1945,7853.981633974483,POINT(-2.3075 53.2364)
Nobeyama Radio Observatory,1350,Nagano-Japón,Radio,Operativo,1982,78.53981633974483,POINT(138.472 35.9415)
Five-hundred-meter Aperture Spherical Telescope (FAST),1100,Guizhou-China,Radio,Operativo,2016,78539.81633974484,POINT(106.856 25.6529)
Yerkes Observatory,334,Wisconsin-USA,Óptico,Operativo,1897,3.141592653589793,POINT(-88.553 42.5714)
Apache Point Observatory,2788,Nuevo México-USA,Óptico,Operativo,1985,3.141592653589793,POINT(-105.82 32.7803)
W. M. Keck Observatory,4145,Mauna Kea-Hawái-USA,Óptico/Infrarrojo,Operativo,1993,76.96902001294993,POINT(-155.4783 19.8264)
Gemini North,4213,Mauna Kea-Hawái-USA,Óptico/Infrarrojo,Operativo,1999,51.51838900400386,POINT(-155.469 19.8236)
